probe,time_of_day,warm_cold,treatment,species,species_treatment,timepoint,FW,VNaOH,FA,average_FA,replicate,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),1,61.8,,,34.73570658,5,,
,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61.4,,,49.78284472,2,,
,morning,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61,,,75.35519124,5,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61,,,27.15846995,2,,
,evening,cold,control,A. gorgoneum,A. gorgoneum (cold-control),2,61,,,39.20765027,5,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,61.6,,,65.53030302,7,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,62.7,,,81.31313131,9,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,61.6,,,92.99242425,11,,
,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,62.2,,,32.63665595,7,,
,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,62.7,,,45.02923978,9,,
,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),1,61.9,,,44.66882067,11,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),2,62.5,,,57.86666666,7,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),2,61.5,,,63.73983739,9,,
,morning,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),2,61.2,,,45.17973856,11,,
,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),2,61.9,,,23.93645665,7,,
,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),2,61,,,30.21857923,9,,
,evening,cold,drought,A. gorgoneum,A. gorgoneum (cold-drought),2,62,,,27.09677419,11,,
,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),1,54.7,,,44.57647775,6,,
,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),1,61.6,,,51.13636364,12,,
,evening,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),1,53.6,,,30.03731343,6,,
,evening,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),1,61.1,,,28.6415712,12,,
,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),2,61.6,,,92.23484848,6,,
,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),2,61.9,,,167.7436726,12,,
,evening,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),2,61.8,,,32.2815534,6,,
,evening,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),2,62.2,,,33.76205788,12,,
,morning,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),1,61.9,,,85.3796446,1,,
,morning,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),1,61.6,,,72.72727273,4,,
,evening,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),1,61.3,,,25.1223491,1,,
,evening,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),1,61.3,,,24.74170745,4,,
,morning,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),2,61.5,,,51.40921408,1,,
,morning,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),2,61.6,,,54.35606061,4,,
,evening,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),2,61.6,,,28.59848485,1,,
,evening,warm,cold,A. gorgoneum,A. gorgoneum (warm-cold),2,61.5,,,29.78319783,4,,
,morning,warm,control,A. gorgoneum,A. gorgoneum (warm-control),1,61.4,,,46.55266014,10,,
,evening,warm,control,A. gorgoneum,A. gorgoneum (warm-control),1,61.4,,,17.86102063,10,,
,morning,warm,control,A. gorgoneum,A. gorgoneum (warm-control),2,61.8,,,65.12944984,10,,
,evening,warm,control,A. gorgoneum,A. gorgoneum (warm-control),2,62,,,37.82258064,10,,
,morning,warm,drought,A. gorgoneum,A. gorgoneum (warm-drought),1,62.4,,,54.7809829,3,,
,morning,warm,drought,A. gorgoneum,A. gorgoneum (warm-drought),1,61.6,,,106.4393939,8,,
,evening,warm,drought,A. gorgoneum,A. gorgoneum (warm-drought),1,61.5,,,24.85094851,3,,
,evening,warm,drought,A. gorgoneum,A. gorgoneum (warm-drought),1,61.7,,,21.7450027,8,,
,morning,warm,drought,A. gorgoneum,A. gorgoneum (warm-drought),2,61.7,,,171.8800648,3,,
,evening,warm,drought,A. gorgoneum,A. gorgoneum (warm-drought),2,61.4,,,39.52225841,3,,
,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),1,61.6,,,49.24242425,2,,
,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),1,61.7,,,79.22744463,5,,
,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),1,61.4,,,28.69163952,2,,
,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),1,61.3,,,35.01903209,5,,
,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),2,61.8,,,114.4012945,2,,
,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),2,61.7,,,93.78714209,5,,
,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),2,61.3,,,32.73518217,2,,
,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),2,62.6,,,45.6602769,5,,
,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),1,62,,,94.46236559,8,,
,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),1,61.9,,,75.01346258,11,,
,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),1,61.7,,,31.76661264,8,,
,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),1,61.6,,,31.62878788,11,,
,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),2,61.7,,,91.32901134,8,,
,morning,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),2,61.7,,,126.1210157,11,,
,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),2,61.7,,,27.22852512,8,,
,evening,cold,drought,A. leucoblepharum,A. leucoblepharum (cold-drought),2,61.2,,,29.54793028,11,,
,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),1,61.9,,,88.9606893,9,,
,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),1,61.3,,,48.53181078,13,,
,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),1,61.6,,,44.50757577,9,,
,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),1,61.5,,,31.6802168,13,,
,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),2,62.6,,,162.886049,9,,
,morning,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),2,61.7,,,98.32522959,13,,
,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),2,62.8,,,53.31740978,9,,
,evening,cold,warm,A. leucoblepharum,A. leucoblepharum (cold-warm),2,61.1,,,30.36006547,13,,
,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),1,61.7,,,85.278228,1,,
,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),1,61.7,,,106.4559698,3,,
,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),1,61.6,,,110.7954546,12,,
,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),1,61.1,,,22.14948173,1,,
,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),1,61.6,,,20.83333333,3,,
,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),1,61.9,,,24.50188476,12,,
,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),2,61.3,,,100.1087548,1,,
,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),2,61.3,,,90.9733551,3,,
,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),2,61.5,,,109.2682927,12,,
,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),2,61.3,,,33.11582382,1,,
,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),2,61.1,,,30.16912166,3,,
,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),2,61.5,,,41.73441734,12,,
,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),1,61.5,,,63.73983739,6,,
,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),1,61.1,,,95.47190398,7,,
,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),1,61.3,,,27.02555737,6,,
,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),1,61.2,,,19.25381264,7,,
,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),2,61.1,,,148.172395,6,,
,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),2,61.6,,,67.23484849,7,,
,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),2,61.5,,,32.24932249,6,,
,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),2,61.2,,,32.2167756,7,,
,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),1,61.2,,,78.92156864,4,,
,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),1,61.5,,,115.7181572,10,,
,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),1,61,,,24.86338798,4,,
,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),1,61,,,23.52459016,10,,
,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),2,61.5,,,127.4796748,4,,
,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),2,61.2,,,147.167756,10,,
,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),2,61.3,,,32.16421969,4,,
,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),2,61.9,,,33.54873452,10,,
,morning,cold,control,A. percaneum,A. percaneum (cold-control),1,61.4,,,158.4690554,3,,
,evening,cold,control,A. percaneum,A. percaneum (cold-control),1,61.1,,,46.20840154,3,,
,morning,cold,control,A. percaneum,A. percaneum (cold-control),2,61.4,,,83.41476658,3,,
,evening,cold,control,A. percaneum,A. percaneum (cold-control),2,61.4,,,36.29207383,3,,
,morning,cold,drought,A. percaneum,A. percaneum (cold-drought),1,61.1,,,130.9874523,2,,
,evening,cold,drought,A. percaneum,A. percaneum (cold-drought),1,61.7,,,44.81361427,2,,
,morning,cold,drought,A. percaneum,A. percaneum (cold-drought),2,61.5,,,65.06775069,2,,
,evening,cold,drought,A. percaneum,A. percaneum (cold-drought),2,61.2,,,30.11982571,2,,
,morning,warm,cold,A. percaneum,A. percaneum (warm-cold),1,61.8,,,142.5296656,1,,
,evening,warm,cold,A. percaneum,A. percaneum (warm-cold),1,61.2,,,38.31699347,1,,
,morning,warm,cold,A. percaneum,A. percaneum (warm-cold),2,62.2,,,95.28403,1,,
,evening,warm,cold,A. percaneum,A. percaneum (warm-cold),2,61.6,,,39.58333334,1,,
,morning,warm,control,A. percaneum,A. percaneum (warm-control),1,61.2,,,100.6535948,4,,
,evening,warm,control,A. percaneum,A. percaneum (warm-control),1,61.3,,,22.64817836,4,,
,morning,warm,control,A. percaneum,A. percaneum (warm-control),2,61.8,,,145.7389428,4,,
,evening,warm,control,A. percaneum,A. percaneum (warm-control),2,61.9,,,55.6004308,4,,
,morning,warm,drought,A. percaneum,A. percaneum (warm-drought),1,62.4,,,182.2916667,5,,
,evening,warm,drought,A. percaneum,A. percaneum (warm-drought),1,61.4,,,40.47231272,5,,
,morning,warm,drought,A. percaneum,A. percaneum (warm-drought),2,61.8,,,149.1370011,5,,
,evening,warm,drought,A. percaneum,A. percaneum (warm-drought),2,62.9,,,49.33757287,5,,
,morning,cold,control,A. stuessyi,A. stuessyi (cold-control),1,55,,,49.63636363,7,,
,morning,cold,control,A. stuessyi,A. stuessyi (cold-control),1,61.5,,,54.06504065,14,,
,evening,cold,control,A. stuessyi,A. stuessyi (cold-control),1,54.3,,,27.50153468,7,,
,evening,cold,control,A. stuessyi,A. stuessyi (cold-control),1,62,,,25.21505376,14,,
,morning,cold,control,A. stuessyi,A. stuessyi (cold-control),2,62.1,,,89.2377885,7,,
,morning,cold,control,A. stuessyi,A. stuessyi (cold-control),2,61.4,,,83.60477741,14,,
,evening,cold,control,A. stuessyi,A. stuessyi (cold-control),2,62.1,,,36.82232957,7,,
,evening,cold,control,A. stuessyi,A. stuessyi (cold-control),2,61.5,,,28.07588076,14,,
,morning,cold,drought,A. stuessyi,A. stuessyi (cold-drought),1,61.6,,,36.36363637,11,,
,morning,cold,drought,A. stuessyi,A. stuessyi (cold-drought),1,62,,,82.79569893,12,,
,evening,cold,drought,A. stuessyi,A. stuessyi (cold-drought),1,61.4,,,21.66123778,11,,
,evening,cold,drought,A. stuessyi,A. stuessyi (cold-drought),1,61.6,,,26.13636364,12,,
,morning,cold,drought,A. stuessyi,A. stuessyi (cold-drought),2,62.1,,,84.5410628,11,,
,morning,cold,drought,A. stuessyi,A. stuessyi (cold-drought),2,61.5,,,55.39295395,12,,
,evening,cold,drought,A. stuessyi,A. stuessyi (cold-drought),2,62.1,,,30.24691358,11,,
,evening,cold,drought,A. stuessyi,A. stuessyi (cold-drought),2,61.5,,,36.99186992,12,,
,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),1,61.6,,,86.36363638,2,,
,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),1,61.6,,,76.70454547,3,,
,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),1,61.3,,,65.85100599,8,,
,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),1,61.5,,,24.09214092,2,,
,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),1,61.9,,,26.57512116,3,,
,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),1,61.6,,,46.59090909,8,,
,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),2,60.9,,,129.5019157,2,,
,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),2,61.6,,,98.67424242,3,,
,morning,cold,warm,A. stuessyi,A. stuessyi (cold-warm),2,62.4,,,112.1794872,8,,
,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),2,61.1,,,49.64539006,2,,
,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),2,62,,,31.80107527,3,,
,evening,cold,warm,A. stuessyi,A. stuessyi (cold-warm),2,62.2,,,42.39013933,8,,
,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),1,61.5,,,56.34146343,4,,
,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),1,61.6,,,69.88636365,9,,
,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),1,61.7,,,42.5445705,10,,
,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),1,61.1,,,22.72231315,4,,
,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),1,61.6,,,24.81060606,9,,
,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),1,61.4,,,17.67100977,10,,
,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),2,61.1,,,67.59410802,4,,
,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),2,61.1,,,83.63338788,9,,
,morning,warm,cold,A. stuessyi,A. stuessyi (warm-cold),2,61.2,,,85.21241831,10,,
,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),2,61,,,29.07103825,4,,
,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),2,61.7,,,35.35926527,9,,
,evening,warm,cold,A. stuessyi,A. stuessyi (warm-cold),2,61.2,,,28.78540305,10,,
,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),1,61.3,,,80.50570962,1,,
,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),1,61.2,,,67.86492374,13,,
,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),1,61.5,,,18.9701897,1,,
,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),1,61.9,,,19.41303177,13,,
,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),2,62.8,,,70.96602972,1,,
,morning,warm,control,A. stuessyi,A. stuessyi (warm-control),2,61.9,,,64.83575658,13,,
,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),2,61.1,,,35.89743591,1,,
,evening,warm,control,A. stuessyi,A. stuessyi (warm-control),2,61.7,,,32.90113452,13,,
,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),1,61.4,,,81.89467969,5,,
,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),1,61.6,,,86.17424242,6,,
,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),1,62.1,,,26.30166398,5,,
,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),1,61.5,,,19.91869919,6,,
,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),2,61.4,,,62.32356134,5,,
,morning,warm,drought,A. stuessyi,A. stuessyi (warm-drought),2,61.6,,,106.0606061,6,,
,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),2,61.4,,,28.31161781,5,,
,evening,warm,drought,A. stuessyi,A. stuessyi (warm-drought),2,62.3,,,52.43445694,6,,
,morning,cold,control,A. undulatum,A. undulatum (cold-control),1,62,,,35.9408602,1,,
,evening,cold,control,A. undulatum,A. undulatum (cold-control),1,61.5,,,20.67750678,1,,
,morning,cold,control,A. undulatum,A. undulatum (cold-control),2,61.7,,,56.34792006,1,,
,evening,cold,control,A. undulatum,A. undulatum (cold-control),2,61.2,,,37.17320261,1,,
,morning,warm,cold,A. undulatum,A. undulatum (warm-cold),1,51.4,,,93.28793775,2,,
,evening,warm,cold,A. undulatum,A. undulatum (warm-cold),1,52,,,46.4423077,2,,
,morning,warm,cold,A. undulatum,A. undulatum (warm-cold),2,61.3,,,39.39641111,2,,
,evening,warm,cold,A. undulatum,A. undulatum (warm-cold),2,61.5,,,28.64498645,2,,
Leu3III,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,56.3,320,198.9342806,,3,,
Leu3III,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,56.3,345,214.4760213,,3,,
Leu3III,morning,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,56.3,340,211.3676732,,3,,
Leu3III,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,56,55,34.375,,3,,
Leu3III,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,56,58,36.25,,3,,
Leu3III,evening,warm,cold,A. leucoblepharum,A. leucoblepharum (warm-cold),3,56,58,36.25,,3,,
Leu5III,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),3,58.2,210,126.2886598,,5,,
Leu5III,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),3,58.2,220,132.3024055,,5,,
Leu5III,morning,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),3,58.2,226,135.9106529,,5,,
Leu5III,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),3,54.6,70,44.87179487,,5,,
Leu5III,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),3,54.6,72,46.15384615,,5,,
Leu5III,evening,cold,control,A. leucoblepharum,A. leucoblepharum (cold-control),3,54.6,77,49.35897436,,5,,
Leu7III,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,58.8,240,142.8571429,,7,,
Leu7III,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,58.8,246,146.4285714,,7,,
Leu7III,morning,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,58.8,230,136.9047619,,7,,
Leu7III,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,59.4,76,44.78114478,,7,,
Leu7III,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,59.4,78,45.95959596,,7,,
Leu7III,evening,warm,control,A. leucoblepharum,A. leucoblepharum (warm-control),3,59.4,81,47.72727273,,7,,
Leu10III,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,59.1,351,207.8680203,,10,,
Leu10III,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,59.1,370,219.1201354,,10,,
Leu10III,morning,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,59.1,350,207.2758037,,10,,
Leu10III,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,55.8,56,35.12544803,,10,,
Leu10III,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,55.8,64,40.14336918,,10,,
Leu10III,evening,warm,drought,A. leucoblepharum,A. leucoblepharum (warm-drought),3,55.8,65,40.77060932,,10,,
Per1III,morning,warm,cold,A. percaneum,A. percaneum (warm-cold),3,59.7,250,146.5661642,,1,,
Per1III,morning,warm,cold,A. percaneum,A. percaneum (warm-cold),3,59.7,249,145.9798995,,1,,
Per1III,morning,warm,cold,A. percaneum,A. percaneum (warm-cold),3,59.7,245,143.6348409,,1,,
Per1III,evening,warm,cold,A. percaneum,A. percaneum (warm-cold),3,55.6,42,26.43884892,,1,,
Per1III,evening,warm,cold,A. percaneum,A. percaneum (warm-cold),3,55.6,46,28.95683453,,1,,
Per1III,evening,warm,cold,A. percaneum,A. percaneum (warm-cold),3,55.6,54,33.99280576,,1,,
Und2III,morning,warm,cold,A. undulatum,A. undulatum (warm-cold),3,51.1,140,95.89041096,,2,,
Und2III,morning,warm,cold,A. undulatum,A. undulatum (warm-cold),3,51.1,347,237.6712329,,2,,
Und2III,morning,warm,cold,A. undulatum,A. undulatum (warm-cold),3,51.1,135,92.46575342,,2,,
Und2III,evening,warm,cold,A. undulatum,A. undulatum (warm-cold),3,53.1,72,47.45762712,,2,,
Und2III,evening,warm,cold,A. undulatum,A. undulatum (warm-cold),3,53.1,70,46.1393597,,2,,
Und2III,evening,warm,cold,A. undulatum,A. undulatum (warm-cold),3,53.1,70,46.1393597,,2,,
Gor6III,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),3,56.8,369,227.3767606,,6,,
Gor6III,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),3,56.8,375,231.0739437,,6,,
Gor6III,morning,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),3,56.8,390,240.3169014,,6,,
Gor6III,evening,cold,warm,A. gorgoneum,A. gorgoneum (cold-warm),3,53.1,50,32.9566855,,6,,
